Job_Category,Experience_Level,Job_Completed,Earnings_USD,Hourly_Rate,project complexity
0,1.0,157,4412,94.76,4.0
0,1.0,130,4335,97.66,5.0
4,1.0,111,1479,30.26,2.0
0,0.0,55,3854,34.52,2.0
3,2.0,107,1519,9.74,3.0
1,2.0,119,5624,52.45,3.0
7,1.0,177,5045,40.93,2.0
6,1.0,147,1535,27.25,2.0
7,0.0,31,1818,58.8,3.0
2,1.0,156,1859,12.06,2.0
2,2.0,153,1560,27.71,1.0
5,1.0,122,2396,24.13,3.0
7,1.0,138,6282,68.8,3.0
7,0.0,18,3253,26.06,5.0
5,2.0,251,6031,48.98,3.0
1,0.0,37,306,31.81,3.0
4,2.0,128,5223,87.54,2.0
6,2.0,164,3160,38.62,2.0
7,2.0,270,7916,97.97,2.0
2,2.0,153,6070,32.06,3.0
6,0.0,65,1520,18.7,2.0
4,0.0,42,2430,23.09,1.0
3,0.0,66,701,9.72,3.0
4,0.0,45,1065,25.69,3.0
3,0.0,35,1020,12.17,2.0
1,0.0,21,1657,10.24,3.0
0,1.0,128,6424,95.92,5.0
6,2.0,291,5210,68.13,1.0
1,2.0,273,7149,43.11,3.0
5,0.0,25,1786,49.02,2.0
0,1.0,113,4615,92.09,3.0
1,0.0,64,687,34.09,2.0
2,0.0,64,915,6.59,2.0
1,0.0,45,109,8.11,2.0
4,0.0,6,1689,32.7,1.0
0,0.0,10,4166,52.98,3.0
2,1.0,56,669,22.54,2.0
0,2.0,144,9127,115.42,4.0
4,1.0,86,2129,69.82,1.0
1,0.0,24,1077,21.14,3.0
6,1.0,86,3585,53.45,1.0
1,2.0,165,2579,66.48,1.0
6,0.0,5,1050,24.66,2.0
2,0.0,60,339,14.61,2.0
0,0.0,47,2205,48.53,4.0
4,2.0,292,12536,92.86,2.0
7,2.0,132,8344,99.05,4.0
6,1.0,132,3544,54.1,1.0
5,0.0,39,1873,22.75,1.0
3,1.0,61,1814,7.23,3.0
0,0.0,33,1999,61.73,3.0
5,1.0,120,5348,36.24,3.0
7,0.0,17,3219,46.27,2.0
4,1.0,99,2186,56.6,2.0
1,0.0,37,892,13.07,1.0
2,1.0,158,1061,9.75,1.0
7,1.0,76,4105,68.41,5.0
6,2.0,134,5877,71.82,3.0
0,2.0,239,6295,148.31,3.0
2,0.0,74,432,9.56,2.0
3,0.0,77,434,8.85,2.0
6,2.0,111,5791,85.32,3.0
6,2.0,190,5159,69.41,1.0
7,2.0,179,7792,113.83,3.0
4,0.0,22,1647,23.72,3.0
1,0.0,6,502,20.57,1.0
4,0.0,44,927,42.49,3.0
2,2.0,113,5049,17.84,1.0
2,1.0,101,1815,13.36,2.0
7,1.0,146,5074,80.45,3.0
5,2.0,187,2986,102.8,2.0
5,0.0,62,2067,31.78,2.0
0,0.0,12,3034,39.13,2.0
7,0.0,14,2036,54.55,3.0
4,1.0,66,1850,66.4,1.0
2,1.0,171,3234,25.95,3.0
3,2.0,188,4622,28.59,2.0
2,1.0,146,2314,19.18,2.0
4,2.0,171,9757,48.5,3.0
4,2.0,112,7814,70.4,1.0
3,2.0,169,2170,27.22,1.0
6,1.0,106,1113,32.45,2.0
0,1.0,109,8873,59.33,3.0
5,1.0,112,4199,32.13,1.0
7,2.0,146,13506,120.58,3.0
6,1.0,100,2336,57.33,1.0
3,0.0,8,239,4.02,2.0
7,0.0,28,1563,23.4,3.0
4,0.0,77,1164,31.06,3.0
1,2.0,275,7436,71.21,1.0
3,2.0,148,2182,17.94,3.0
0,0.0,61,3672,56.1,3.0
5,2.0,234,10746,101.95,2.0
6,1.0,107,2352,48.78,1.0
1,2.0,296,5558,72.87,2.0
3,2.0,203,5151,19.2,1.0
2,2.0,275,5465,17.02,2.0
1,2.0,120,1588,58.51,3.0
7,1.0,58,6668,79.14,4.0
2,0.0,34,1482,8.28,3.0
5,2.0,207,6282,68.88,2.0
4,2.0,247,6436,47.04,1.0
2,2.0,265,2777,15.97,1.0
5,2.0,140,10530,33.97,3.0
6,2.0,149,8285,61.2,3.0
2,0.0,69,1252,5.99,1.0
4,2.0,256,9598,77.97,1.0
0,2.0,171,5279,117.07,3.0
7,0.0,44,1046,40.73,4.0
6,0.0,53,1018,17.38,3.0
5,2.0,246,12335,67.17,3.0
3,0.0,37,671,12.15,1.0
0,1.0,131,7250,45.54,3.0
7,1.0,59,4641,60.13,3.0
7,1.0,156,5425,55.8,4.0
2,2.0,203,3707,41.36,3.0
2,2.0,164,4165,23.41,2.0
4,1.0,162,2010,27.03,1.0
6,2.0,105,7946,73.54,3.0
3,0.0,55,1205,7.24,2.0
5,2.0,104,4979,69.23,2.0
6,2.0,283,11272,41.11,2.0
5,2.0,103,7156,96.54,1.0
7,2.0,168,13977,90.94,3.0
3,1.0,79,1025,19.36,1.0
1,0.0,5,1033,8.93,1.0
0,1.0,148,6250,72.95,3.0
1,1.0,88,2642,19.04,2.0
6,2.0,173,7296,62.05,3.0
6,0.0,16,1177,26.15,3.0
7,1.0,145,8615,65.61,2.0
7,1.0,131,3033,83.51,4.0
1,0.0,59,1389,7.12,1.0
6,0.0,16,1143,41.98,3.0
4,1.0,173,3050,62.95,3.0
6,0.0,38,1550,22.93,1.0
4,0.0,17,293,16.03,3.0
6,1.0,160,1123,29.86,2.0
0,2.0,203,10614,71.84,4.0
4,0.0,11,2238,26.18,3.0
1,0.0,76,1043,12.8,2.0
2,1.0,105,1257,29.81,2.0
2,0.0,49,1680,9.85,1.0
7,1.0,163,5617,30.47,4.0
1,1.0,87,1027,47.15,1.0
5,0.0,54,1394,46.87,2.0
5,1.0,150,5266,44.03,2.0
7,2.0,261,6714,113.16,5.0
4,1.0,123,2827,59.22,3.0
5,2.0,207,3116,84.65,2.0
3,2.0,193,1927,28.16,1.0
2,1.0,158,3098,29.44,3.0
6,0.0,73,985,33.15,1.0
0,0.0,19,1668,50.87,3.0
7,1.0,178,7604,54.56,5.0
7,2.0,122,4735,128.79,3.0
7,0.0,34,3784,34.66,5.0
1,1.0,65,1409,13.14,3.0
7,2.0,200,6857,54.23,3.0
1,1.0,171,1533,39.16,3.0
7,2.0,164,12237,73.08,5.0
4,1.0,129,5518,26.59,1.0
5,0.0,61,2106,47.8,3.0
5,1.0,82,4586,55.3,1.0
0,0.0,66,3100,49.79,5.0
0,0.0,75,3225,39.1,2.0
5,2.0,140,8028,37.6,1.0
6,1.0,97,1800,41.26,1.0
5,0.0,34,1391,40.18,1.0
7,0.0,36,4182,49.24,3.0
5,2.0,191,4667,80.6,2.0
5,2.0,273,10491,62.79,2.0
7,0.0,43,1982,32.29,2.0
2,1.0,128,1797,9.41,1.0
4,2.0,228,4437,87.33,1.0
2,0.0,59,1389,20.27,3.0
5,2.0,217,3106,95.55,2.0
7,2.0,259,12451,107.46,3.0
6,1.0,171,2147,30.94,1.0
1,1.0,121,1831,49.45,3.0
0,0.0,52,3856,67.69,5.0
1,0.0,11,1662,28.64,2.0
2,1.0,105,2464,26.39,3.0
3,2.0,114,1525,17.99,3.0
1,2.0,148,4286,19.45,1.0
4,0.0,65,1165,17.63,1.0
4,0.0,68,2759,38.96,2.0
4,1.0,111,2480,27.82,2.0
3,1.0,93,1880,16.19,1.0
6,2.0,160,2288,44.4,1.0
3,2.0,183,2444,24.91,1.0
1,1.0,105,997,18.04,1.0
4,0.0,42,3030,17.32,3.0
7,2.0,281,12801,95.96,3.0
2,1.0,134,2504,16.85,2.0
4,2.0,282,10915,76.39,2.0
2,1.0,104,2370,27.0,3.0
1,0.0,26,1688,19.74,1.0
1,2.0,217,5637,56.14,2.0
0,2.0,128,10086,98.1,4.0
4,2.0,254,10797,85.31,3.0
4,1.0,102,3342,68.77,2.0
0,1.0,99,6783,56.11,2.0
4,1.0,109,1953,61.33,1.0
2,1.0,169,1155,9.82,2.0
6,1.0,106,3323,47.18,2.0
2,2.0,162,4342,16.17,3.0
2,1.0,97,1014,16.95,2.0
7,0.0,64,3248,41.56,3.0
2,1.0,145,3613,28.4,1.0
4,0.0,73,2887,20.13,2.0
7,0.0,5,3139,35.75,3.0
1,0.0,32,1498,28.3,2.0
6,0.0,25,2268,11.93,1.0
4,1.0,91,4324,39.6,2.0
3,1.0,103,1096,6.31,2.0
5,1.0,77,2751,66.65,1.0
0,1.0,132,8380,58.71,3.0
4,1.0,160,2485,28.14,1.0
4,0.0,14,1399,20.2,2.0
1,2.0,239,2775,69.55,1.0
0,0.0,66,1696,48.4,4.0
7,2.0,117,9870,54.53,5.0
2,2.0,104,4877,15.26,3.0
5,2.0,290,10299,76.3,2.0
4,2.0,175,7912,69.27,1.0
6,0.0,21,829,28.06,1.0
1,2.0,112,4620,42.55,1.0
3,1.0,66,2379,18.92,3.0
1,2.0,247,7244,48.04,3.0
2,1.0,161,1191,12.77,2.0
0,0.0,12,4257,49.1,4.0
7,1.0,163,7247,70.65,4.0
6,0.0,27,1432,26.27,3.0
5,2.0,231,10680,56.76,3.0
2,0.0,13,1023,14.89,3.0
4,1.0,74,1450,59.86,2.0
5,1.0,60,2654,65.66,2.0
5,2.0,243,8361,30.93,3.0
6,1.0,128,4645,27.22,3.0
3,0.0,19,1068,7.64,3.0
6,1.0,149,2234,41.32,3.0
2,2.0,246,4049,33.39,2.0
3,0.0,46,791,8.17,3.0
3,2.0,286,2133,16.75,2.0
7,2.0,253,12978,92.12,5.0
0,2.0,149,13047,120.65,3.0
6,0.0,46,1293,17.85,3.0
7,1.0,129,2456,50.48,3.0
2,1.0,179,2694,22.6,1.0
4,1.0,177,4343,63.15,3.0
7,1.0,158,6617,46.32,3.0
3,0.0,48,100,10.32,3.0
6,2.0,128,4235,28.24,1.0
7,2.0,153,7167,84.97,3.0
0,1.0,157,7952,81.61,2.0
3,0.0,56,788,8.67,1.0
3,0.0,43,1119,13.74,1.0
0,2.0,212,14051,115.23,5.0
0,2.0,145,12868,125.91,4.0
4,2.0,191,5604,100.1,2.0
2,1.0,142,2277,27.2,3.0
6,1.0,56,2950,44.19,1.0
4,1.0,76,4560,49.64,2.0
1,2.0,257,2791,33.9,3.0
3,2.0,189,5914,11.49,2.0
6,2.0,175,2014,77.47,1.0
5,1.0,157,5983,22.66,2.0
6,0.0,59,1885,18.29,3.0
3,2.0,286,5295,12.6,2.0
3,0.0,75,161,4.53,2.0
5,1.0,141,2925,55.3,3.0
4,0.0,70,2217,34.57,1.0
5,1.0,94,1995,32.36,2.0
2,0.0,56,1061,18.94,3.0
3,1.0,95,1236,5.17,2.0
1,2.0,176,2617,50.63,3.0
4,2.0,149,7546,33.25,3.0
3,0.0,29,870,6.85,3.0
4,2.0,251,9315,32.32,2.0
1,1.0,70,2113,27.06,3.0
2,0.0,67,852,18.9,2.0
3,2.0,192,1359,28.46,3.0
3,2.0,240,4270,12.21,1.0
2,2.0,278,2331,41.25,2.0
2,2.0,198,5725,26.11,2.0
4,2.0,134,2635,93.46,1.0
4,2.0,272,12006,94.4,2.0
6,2.0,174,2555,56.96,1.0
4,2.0,158,8557,90.24,1.0
3,2.0,113,1808,22.6,2.0
0,2.0,114,5986,137.62,5.0
7,1.0,170,2970,40.3,3.0
4,1.0,138,4967,49.77,2.0
3,0.0,13,1126,9.32,3.0
1,0.0,31,2065,17.5,3.0
4,2.0,155,6134,76.85,3.0
4,1.0,117,1629,69.61,2.0
2,2.0,119,2641,39.31,2.0
5,1.0,91,1950,25.87,2.0
6,2.0,134,4341,73.86,1.0
5,1.0,114,2730,66.0,2.0
1,1.0,127,3247,27.82,2.0
1,1.0,94,3133,17.44,1.0
2,2.0,160,4023,28.62,3.0
4,2.0,248,7600,58.66,3.0
5,0.0,62,950,20.94,1.0
1,0.0,52,289,13.74,3.0
7,0.0,44,1515,51.02,3.0
4,0.0,77,2027,45.16,2.0
5,1.0,141,3089,54.33,3.0
2,2.0,154,5375,39.49,1.0
6,0.0,20,1415,25.63,2.0
7,2.0,253,12030,131.14,3.0
3,1.0,128,2918,10.0,1.0
1,1.0,132,3274,23.67,3.0
4,1.0,156,4887,24.21,1.0
0,1.0,83,6012,43.17,5.0
2,0.0,8,521,14.57,1.0
2,1.0,102,2174,24.02,3.0
4,0.0,54,2871,16.44,1.0
0,1.0,87,4775,69.1,5.0
0,0.0,52,2437,32.8,4.0
6,1.0,136,4486,49.5,3.0
3,1.0,114,561,6.43,2.0
6,2.0,203,4628,60.25,1.0
3,1.0,122,932,11.1,1.0
0,2.0,259,14094,86.82,5.0
4,0.0,44,847,21.21,1.0
6,1.0,82,3797,24.68,1.0
3,2.0,239,5673,28.98,3.0
0,2.0,204,16166,113.38,4.0
2,1.0,145,1425,15.81,3.0
6,0.0,75,1524,18.58,3.0
5,2.0,179,8759,74.23,2.0
1,2.0,186,3842,24.51,2.0
3,1.0,111,925,12.7,3.0
1,1.0,171,4215,28.41,2.0
6,1.0,118,1668,15.88,3.0
4,1.0,85,3762,43.85,1.0
1,1.0,54,3542,15.71,2.0
7,0.0,59,1803,24.12,4.0
3,0.0,70,1326,13.35,3.0
6,2.0,216,2154,87.02,3.0
2,0.0,18,1119,10.15,2.0
5,2.0,164,6597,45.47,3.0
6,1.0,131,2386,54.06,1.0
4,2.0,257,10487,97.17,1.0
1,0.0,5,909,27.92,3.0
2,0.0,45,1681,16.63,3.0
6,2.0,200,5054,53.57,1.0
0,1.0,101,7283,52.81,3.0
5,0.0,58,470,27.81,1.0
7,0.0,56,3166,30.49,3.0
2,0.0,17,945,9.07,1.0
6,1.0,116,2290,17.3,1.0
7,1.0,88,5965,85.66,3.0
4,0.0,9,1844,15.2,2.0
0,1.0,103,7671,75.1,3.0
2,2.0,254,6830,19.26,3.0
4,2.0,192,10002,94.37,1.0
1,2.0,181,6015,67.76,2.0
2,2.0,225,6123,35.15,1.0
6,0.0,53,1373,41.4,2.0
6,0.0,51,1930,38.56,2.0
6,2.0,163,4869,45.04,2.0
4,1.0,122,5954,34.2,2.0
3,1.0,102,2647,16.72,1.0
4,0.0,5,1195,15.16,1.0
3,2.0,127,2206,12.5,1.0
7,2.0,240,9673,133.57,4.0
7,2.0,298,10985,65.08,3.0
5,0.0,62,1607,33.76,2.0
0,0.0,25,2060,37.17,3.0
2,0.0,6,618,16.25,3.0
5,0.0,16,2323,32.84,1.0
7,0.0,37,2596,40.91,3.0
1,1.0,124,3357,36.09,3.0
2,0.0,72,477,11.97,1.0
6,0.0,34,1904,13.41,1.0
5,1.0,113,1885,60.01,1.0
1,1.0,167,2465,31.39,2.0
7,0.0,22,1226,27.06,3.0
4,0.0,24,1006,39.11,1.0
0,1.0,82,4263,66.56,3.0
3,1.0,62,2190,5.44,2.0
3,1.0,179,1966,18.75,2.0
3,1.0,55,458,12.3,2.0
3,0.0,13,437,5.23,3.0
5,2.0,232,5998,109.57,1.0
2,0.0,52,651,9.0,2.0
1,1.0,75,1421,49.21,1.0
7,0.0,74,1912,42.85,3.0
0,0.0,70,1569,50.58,3.0
1,1.0,51,979,36.64,2.0
4,1.0,50,4059,28.62,2.0
3,1.0,173,2151,19.68,3.0
3,1.0,161,2383,18.12,1.0
2,2.0,268,3138,37.18,1.0
3,1.0,70,2299,19.04,1.0
2,1.0,176,1673,12.63,2.0
3,2.0,131,1478,12.98,1.0
1,0.0,51,983,8.46,1.0
1,1.0,73,1905,47.75,3.0
4,1.0,102,2068,25.5,3.0
1,0.0,30,1299,15.78,2.0
0,0.0,59,3261,32.0,2.0
5,2.0,174,4004,32.68,2.0
6,0.0,27,346,26.49,1.0
5,0.0,51,2901,14.08,2.0
4,2.0,238,5994,78.77,2.0
3,2.0,148,2335,13.53,2.0
4,2.0,152,2477,39.1,2.0
0,2.0,166,11195,95.16,3.0
5,0.0,29,1906,31.86,3.0
1,1.0,52,1822,17.62,1.0
2,2.0,210,6243,14.17,1.0
4,0.0,44,1339,18.96,3.0
4,2.0,195,11608,75.08,2.0
3,0.0,14,536,10.69,2.0
5,1.0,60,2926,41.25,1.0
6,0.0,39,1058,30.82,1.0
3,2.0,154,3868,24.96,1.0
2,0.0,32,1273,17.93,3.0
6,0.0,35,1129,40.35,1.0
1,1.0,168,3561,32.6,2.0
4,1.0,172,1357,59.81,2.0
6,0.0,35,1388,21.6,1.0
4,2.0,281,5174,37.72,2.0
1,1.0,141,3384,34.71,2.0
6,1.0,153,1904,34.39,1.0
7,2.0,110,5559,103.28,3.0
6,0.0,57,1327,30.11,1.0
2,1.0,178,2859,16.55,2.0
6,2.0,172,2448,28.22,1.0
1,2.0,240,4401,59.83,3.0
3,0.0,23,567,4.34,3.0
5,2.0,212,8602,76.11,1.0
6,1.0,126,2960,36.77,3.0
3,1.0,53,1927,10.34,3.0
2,1.0,95,3369,23.55,2.0
6,2.0,176,2531,75.86,2.0
2,0.0,53,1707,14.08,3.0
5,0.0,69,1679,17.92,1.0
6,1.0,109,2459,58.77,1.0
3,0.0,77,1310,13.02,1.0
6,2.0,215,3992,71.4,1.0
0,1.0,91,7671,83.76,2.0
4,2.0,181,9545,89.45,3.0
3,1.0,124,1944,17.97,3.0
2,2.0,274,4487,21.36,2.0
0,0.0,24,2908,28.17,2.0
0,2.0,157,9978,70.19,2.0
4,2.0,124,6623,43.17,1.0
6,0.0,14,1743,12.22,1.0
0,1.0,82,5661,73.03,5.0
7,0.0,46,1996,36.34,2.0
3,2.0,229,4466,10.44,2.0
6,1.0,121,1511,56.92,1.0
6,1.0,68,3057,50.16,1.0
4,1.0,75,1661,31.7,2.0
1,1.0,90,875,29.13,2.0
1,2.0,174,4294,71.2,3.0
6,0.0,46,1709,35.75,2.0
5,2.0,244,10834,96.1,1.0
2,2.0,146,1833,38.8,2.0
7,0.0,30,683,34.46,3.0
6,1.0,174,3693,15.21,2.0
1,0.0,7,2346,20.11,3.0
6,0.0,19,1046,16.77,3.0
2,2.0,132,3654,42.85,2.0
6,1.0,116,4256,46.76,2.0
7,2.0,218,11555,66.71,3.0
2,1.0,104,2114,18.85,3.0
0,1.0,143,7226,66.92,3.0
7,0.0,73,2119,43.14,4.0
7,1.0,139,5011,47.02,4.0
7,2.0,216,8963,90.33,5.0
0,2.0,286,7390,85.47,4.0
6,1.0,119,750,15.41,1.0
0,1.0,88,6166,83.44,4.0
1,0.0,65,322,20.77,2.0
7,2.0,189,11635,94.87,5.0
2,0.0,10,456,13.39,2.0
0,2.0,172,12939,112.29,4.0
0,0.0,23,1730,61.93,4.0
0,0.0,65,3190,41.22,5.0
7,1.0,152,6517,83.2,3.0
1,2.0,276,6257,71.04,1.0
4,1.0,76,2449,48.29,2.0
5,0.0,28,1654,47.05,2.0
6,2.0,164,6118,77.34,2.0
5,1.0,105,2730,60.97,1.0
2,0.0,60,1556,15.31,1.0
0,1.0,129,2912,55.84,5.0
4,1.0,138,2329,40.13,2.0
4,2.0,160,3415,56.42,2.0
2,1.0,66,2648,19.28,2.0
2,1.0,171,1973,11.87,2.0
0,1.0,172,3284,80.45,4.0
5,2.0,185,3152,111.44,1.0
6,2.0,102,2804,88.02,2.0
3,0.0,56,449,6.64,3.0
2,2.0,283,5867,35.2,3.0
3,0.0,65,922,13.07,2.0
3,2.0,140,5391,17.82,2.0
7,0.0,35,3589,42.54,2.0
5,1.0,136,4604,59.4,1.0
3,1.0,162,713,8.19,3.0
0,1.0,103,8345,93.02,3.0
0,1.0,161,6730,45.08,3.0
7,0.0,24,880,62.55,5.0
0,0.0,31,1910,49.33,3.0
4,1.0,68,2073,67.57,2.0
2,2.0,118,2806,25.01,2.0
7,1.0,129,7174,83.69,5.0
3,1.0,82,840,18.72,2.0
7,0.0,68,1810,61.39,3.0
6,0.0,33,1681,34.15,3.0
3,2.0,176,1381,14.99,2.0
7,1.0,135,7045,64.16,3.0
3,1.0,146,1577,19.47,1.0
1,2.0,139,5917,65.27,2.0
7,2.0,263,12011,68.82,3.0
1,0.0,64,955,14.83,2.0
3,2.0,100,2683,7.62,3.0
4,2.0,179,4296,95.6,2.0
2,1.0,81,858,16.3,1.0
2,1.0,138,2078,27.4,1.0
5,2.0,262,6250,66.08,3.0
1,1.0,70,2708,33.26,1.0
6,2.0,176,7655,43.99,2.0
0,2.0,245,11852,98.84,2.0
1,1.0,125,1641,47.76,2.0
4,1.0,91,3447,54.9,3.0
3,2.0,179,3210,7.83,2.0
1,2.0,209,4703,15.93,1.0
5,1.0,156,3764,71.97,3.0
3,2.0,196,1465,12.48,3.0
7,2.0,238,10799,93.37,3.0
1,2.0,166,3381,66.2,3.0
2,2.0,128,6041,44.94,1.0
5,2.0,230,10881,98.18,1.0
2,2.0,143,5484,13.02,2.0
5,2.0,220,6181,63.89,1.0
4,1.0,110,2989,59.61,2.0
4,2.0,252,6517,84.02,2.0
4,0.0,31,1639,15.98,3.0
3,1.0,78,2910,11.82,2.0
5,1.0,70,4748,25.44,1.0
6,2.0,175,7391,31.86,3.0
1,2.0,165,3937,56.15,3.0
3,2.0,108,1544,24.12,3.0
6,2.0,173,4305,35.4,3.0
4,2.0,165,6432,77.0,3.0
2,1.0,166,3771,22.94,3.0
3,2.0,101,3125,20.13,2.0
4,0.0,14,3093,27.09,2.0
4,2.0,133,8247,58.87,2.0
5,0.0,37,1138,34.16,1.0
7,0.0,39,1540,60.1,5.0
0,2.0,111,13535,94.15,3.0
5,1.0,135,1804,43.29,1.0
4,2.0,231,5046,33.69,2.0
3,2.0,223,1683,25.57,3.0
7,0.0,62,2573,58.86,3.0
3,1.0,66,980,10.97,1.0
0,2.0,141,7290,66.71,4.0
5,1.0,94,4286,63.36,1.0
5,2.0,269,6779,111.34,1.0
7,1.0,129,6660,72.26,5.0
3,1.0,121,863,7.55,2.0
0,0.0,77,3325,48.57,3.0
5,0.0,10,1690,38.11,3.0
1,2.0,257,3422,32.63,3.0
4,2.0,258,9748,66.86,2.0
5,1.0,97,2396,72.63,2.0
1,0.0,42,1648,21.65,3.0
5,2.0,195,2919,104.9,3.0
4,0.0,57,672,16.24,1.0
6,0.0,29,1302,18.69,1.0
0,2.0,283,15557,72.75,3.0
6,0.0,31,986,29.76,3.0
7,0.0,31,1990,33.08,3.0
3,2.0,278,3382,18.51,1.0
2,2.0,242,3248,12.6,3.0
6,2.0,151,5126,76.67,1.0
6,2.0,126,7211,39.85,1.0
2,0.0,45,1088,11.57,1.0
0,0.0,30,3551,34.66,4.0
1,2.0,103,3644,51.08,1.0
7,2.0,125,7998,122.51,5.0
1,0.0,23,504,13.53,2.0
7,2.0,214,10578,102.28,5.0
6,1.0,132,3176,35.57,2.0
7,0.0,52,1607,24.83,2.0
3,2.0,208,2200,18.42,1.0
1,1.0,59,2470,30.5,2.0
2,0.0,19,620,11.68,2.0
2,0.0,32,894,13.59,3.0
6,0.0,44,448,30.59,3.0
3,1.0,120,671,12.21,1.0
6,0.0,56,885,34.46,2.0
4,1.0,70,1424,60.3,3.0
3,0.0,63,435,9.34,2.0
6,1.0,68,2000,35.35,3.0
4,1.0,69,3816,40.18,1.0
0,1.0,89,6325,49.32,3.0
2,0.0,36,1527,12.68,1.0
3,1.0,125,1331,14.83,3.0
6,0.0,38,1161,28.13,3.0
3,0.0,12,837,5.75,3.0
6,1.0,112,1537,24.04,2.0
1,2.0,177,1836,50.11,1.0
7,1.0,105,3294,59.63,3.0
2,1.0,127,2719,22.04,2.0
6,1.0,110,3713,52.31,2.0
0,2.0,239,16313,97.88,3.0
4,0.0,64,864,18.01,2.0
3,2.0,167,1900,8.1,3.0
5,2.0,188,3526,84.58,3.0
6,0.0,11,556,22.23,2.0
2,1.0,178,3634,22.13,2.0
2,0.0,65,1557,16.22,2.0
6,0.0,17,1820,13.34,2.0
2,2.0,295,2923,38.66,1.0
5,0.0,54,1517,18.14,1.0
0,1.0,83,4021,95.65,4.0
3,1.0,136,1878,13.72,2.0
1,0.0,33,1186,18.84,1.0
1,0.0,49,1759,16.26,1.0
2,0.0,64,546,19.63,3.0
1,2.0,251,4480,23.68,2.0
5,2.0,212,9833,102.62,1.0
0,0.0,28,3015,54.58,2.0
0,0.0,79,2932,55.56,3.0
2,0.0,76,678,9.77,1.0
3,2.0,150,1396,28.53,1.0
4,0.0,5,1382,42.5,1.0
2,2.0,194,3817,40.94,1.0
2,1.0,177,2857,16.85,2.0
3,1.0,82,1506,9.37,3.0
5,2.0,206,3000,42.71,2.0
3,1.0,76,1712,16.62,1.0
4,2.0,168,5340,40.95,1.0
2,2.0,192,6252,28.94,1.0
0,1.0,70,2807,66.69,5.0
5,1.0,71,2821,29.06,3.0
2,2.0,286,3930,23.74,2.0
6,2.0,284,5348,47.41,1.0
4,2.0,230,11657,34.37,1.0
1,1.0,122,2031,43.42,3.0
3,2.0,241,5485,13.02,3.0
5,1.0,149,1506,21.62,3.0
1,0.0,57,1355,23.24,2.0
7,1.0,167,8005,38.92,5.0
4,1.0,170,4861,42.43,2.0
1,2.0,248,6953,41.89,1.0
6,1.0,156,1739,51.68,1.0
4,1.0,136,1191,24.12,3.0
5,0.0,43,1046,31.89,1.0
6,0.0,48,689,27.65,2.0
6,1.0,152,1759,52.45,1.0
7,1.0,84,2068,43.54,2.0
6,0.0,9,1522,35.27,3.0
0,0.0,5,1132,32.3,3.0
6,2.0,233,4286,45.26,2.0
4,0.0,34,2473,31.42,1.0
3,2.0,178,2851,25.81,1.0
0,0.0,30,2152,58.34,4.0
4,2.0,180,7857,33.57,3.0
5,1.0,73,3031,30.62,2.0
5,0.0,41,1870,25.06,1.0
